Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
1,-128,1,0.05,1,0.05
1,-127,0,0.00,2,0.00
1,-126,0,0.00,2,0.00
1,-125,0,0.00,3,0.00
1,-124,1,0.05,2,0.10
1,-123,0,0.00,3,0.00
1,-122,0,0.00,3,0.00
1,-121,0,0.00,4,0.00
1,-120,0,0.00,2,0.00
1,-119,4,0.21,3,0.62
1,-118,3,0.16,3,0.47
1,-117,2,0.10,4,0.42
1,-116,0,0.00,3,0.00
1,-115,2,0.10,4,0.42
1,-114,4,0.21,4,0.83
1,-113,3,0.16,5,0.78
1,-112,4,0.21,2,0.42
1,-111,9,0.47,3,1.41
1,-110,5,0.26,3,0.78
1,-109,4,0.21,4,0.83
1,-108,4,0.21,3,0.62
1,-107,7,0.36,4,1.46
1,-106,9,0.47,4,1.88
1,-105,4,0.21,5,1.04
1,-104,8,0.42,3,1.25
1,-103,6,0.31,4,1.25
1,-102,6,0.31,4,1.25
1,-101,7,0.36,5,1.82
1,-100,6,0.31,4,1.25
1,-99,11,0.57,5,2.86
1,-98,6,0.31,5,1.56
1,-97,7,0.36,6,2.19
1,-96,6,0.31,2,0.62
1,-95,14,0.73,3,2.19
1,-94,5,0.26,3,0.78
1,-93,11,0.57,4,2.29
1,-92,12,0.62,3,1.88
1,-91,12,0.62,4,2.50
1,-90,5,0.26,4,1.04
1,-89,4,0.21,5,1.04
1,-88,10,0.52,3,1.56
1,-87,5,0.26,4,1.04
1,-86,9,0.47,4,1.88
1,-85,9,0.47,5,2.34
1,-84,12,0.62,4,2.50
1,-83,10,0.52,5,2.60
1,-82,4,0.21,5,1.04
1,-81,11,0.57,6,3.44
1,-80,10,0.52,3,1.56
1,-79,10,0.52,4,2.08
1,-78,4,0.21,4,0.83
1,-77,9,0.47,5,2.34
1,-76,4,0.21,4,0.83
1,-75,11,0.57,5,2.86
1,-74,4,0.21,5,1.04
1,-73,8,0.42,6,2.50
1,-72,5,0.26,4,1.04
1,-71,8,0.42,5,2.08
1,-70,7,0.36,5,1.82
1,-69,5,0.26,6,1.56
1,-68,12,0.62,5,3.12
1,-67,9,0.47,6,2.81
1,-66,5,0.26,6,1.56
1,-65,11,0.57,7,4.01
1,-64,6,0.31,2,0.62
1,-63,6,0.31,3,0.94
1,-62,5,0.26,3,0.78
1,-61,8,0.42,4,1.67
1,-60,8,0.42,3,1.25
1,-59,16,0.83,4,3.33
1,-58,7,0.36,4,1.46
1,-57,5,0.26,5,1.30
1,-56,6,0.31,3,0.94
1,-55,11,0.57,4,2.29
1,-54,13,0.68,4,2.71
1,-53,4,0.21,5,1.04
