Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
128,0,0.00,1,0.00
127,2,0.01,7,0.04
126,0,0.00,6,0.00
125,0,0.00,6,0.00
124,0,0.00,5,0.00
123,0,0.00,6,0.00
122,0,0.00,5,0.00
121,0,0.00,5,0.00
120,0,0.00,4,0.00
119,1,0.00,6,0.02
118,1,0.00,5,0.02
117,5,0.02,5,0.08
116,2,0.01,4,0.03
115,0,0.00,5,0.00
114,1,0.00,4,0.01
113,4,0.01,4,0.05
112,8,0.03,3,0.08
111,10,0.03,6,0.19
110,2,0.01,5,0.03
109,10,0.03,5,0.16
108,16,0.05,4,0.21
107,11,0.04,5,0.18
106,19,0.06,4,0.24
105,16,0.05,4,0.21
104,17,0.05,3,0.16
103,28,0.09,5,0.45
102,26,0.08,4,0.33
101,28,0.09,4,0.36
100,31,0.10,3,0.30
99,33,0.11,4,0.42
98,39,0.12,3,0.38
97,46,0.15,3,0.44
96,54,0.17,2,0.35
95,69,0.22,6,1.33
94,75,0.24,5,1.20
93,72,0.23,5,1.15
92,86,0.28,4,1.10
91,88,0.28,5,1.41
90,96,0.31,4,1.23
89,100,0.32,4,1.28
88,109,0.35,3,1.05
87,114,0.37,5,1.83
86,117,0.38,4,1.50
85,123,0.39,4,1.58
84,145,0.46,3,1.39
83,151,0.48,4,1.94
82,131,0.42,3,1.26
81,153,0.49,3,1.47
80,136,0.44,2,0.87
79,144,0.46,5,2.31
78,152,0.49,4,1.95
77,165,0.53,4,2.12
76,149,0.48,3,1.43
75,167,0.54,4,2.14
74,170,0.54,3,1.63
73,136,0.44,3,1.31
72,167,0.54,2,1.07
71,145,0.46,4,1.86
70,152,0.49,3,1.46
69,168,0.54,3,1.62
68,155,0.50,2,0.99
67,157,0.50,3,1.51
66,175,0.56,2,1.12
65,150,0.48,2,0.96
64,154,0.49,1,0.49
63,174,0.56,6,3.35
62,176,0.56,5,2.82
61,154,0.49,5,2.47
60,178,0.57,4,2.28
59,158,0.51,5,2.53
58,185,0.59,4,2.37
57,178,0.57,4,2.28
56,186,0.60,3,1.79
55,169,0.54,5,2.71
54,173,0.55,4,2.22
53,160,0.51,4,2.05
52,158,0.51,3,1.52
51,154,0.49,4,1.97
50,169,0.54,3,1.63
49,166,0.53,3,1.60
48,153,0.49,2,0.98
47,179,0.57,5,2.87
46,180,0.58,4,2.31
45,170,0.54,4,2.18
44,179,0.57,3,1.72
43,183,0.59,4,2.35
42,188,0.60,3,1.81
41,168,0.54,3,1.62
40,151,0.48,2,0.97
39,153,0.49,4,1.96
38,175,0.56,3,1.68
37,142,0.46,3,1.37
36,171,0.55,2,1.10
35,148,0.47,3,1.42
34,167,0.54,2,1.07
33,179,0.57,2,1.15
32,185,0.59,1,0.59
31,152,0.49,5,2.44
30,135,0.43,4,1.73
29,178,0.57,4,2.28
28,153,0.49,3,1.47
27,163,0.52,4,2.09
26,142,0.46,3,1.37
25,172,0.55,3,1.65
24,170,0.54,2,1.09
23,177,0.57,4,2.27
22,168,0.54,3,1.62
21,165,0.53,3,1.59
20,155,0.50,2,0.99
19,158,0.51,3,1.52
