Quantized Value (abs),Count,Percentage,Hamming Distance,Hamming x Percentage
0,146,0.47,0,0.00
1,343,1.10,1,1.10
2,349,1.12,1,1.12
3,355,1.14,2,2.28
4,325,1.04,1,1.04
5,355,1.14,2,2.28
6,317,1.02,2,2.03
7,352,1.13,3,3.38
8,342,1.10,1,1.10
9,343,1.10,2,2.20
10,314,1.01,2,2.01
11,324,1.04,3,3.12
12,320,1.03,2,2.05
13,331,1.06,3,3.18
14,350,1.12,3,3.37
15,360,1.15,4,4.62
16,367,1.18,1,1.18
17,358,1.15,2,2.29
18,356,1.14,2,2.28
19,323,1.04,3,3.11
20,328,1.05,2,2.10
21,327,1.05,3,3.14
22,354,1.13,3,3.40
23,337,1.08,4,4.32
24,333,1.07,2,2.13
25,346,1.11,3,3.33
26,300,0.96,3,2.88
27,336,1.08,4,4.31
28,307,0.98,3,2.95
29,334,1.07,4,4.28
30,287,0.92,4,3.68
31,308,0.99,5,4.94
32,335,1.07,1,1.07
33,340,1.09,2,2.18
34,330,1.06,2,2.12
35,310,0.99,3,2.98
36,329,1.05,2,2.11
37,307,0.98,3,2.95
38,333,1.07,3,3.20
39,322,1.03,4,4.13
40,295,0.95,2,1.89
41,336,1.08,3,3.23
42,363,1.16,3,3.49
43,344,1.10,4,4.41
44,352,1.13,3,3.38
45,327,1.05,4,4.19
46,344,1.10,4,4.41
47,345,1.11,5,5.53
48,308,0.99,2,1.97
49,332,1.06,3,3.19
50,326,1.04,3,3.13
51,327,1.05,4,4.19
52,351,1.12,3,3.38
53,302,0.97,4,3.87
54,345,1.11,4,4.42
55,343,1.10,5,5.50
56,372,1.19,3,3.58
57,332,1.06,4,4.26
58,359,1.15,4,4.60
59,333,1.07,5,5.34
60,349,1.12,4,4.47
61,317,1.02,5,5.08
62,339,1.09,5,5.43
63,316,1.01,6,6.08
64,321,1.03,1,1.03
65,300,0.96,2,1.92
66,310,0.99,2,1.99
67,303,0.97,3,2.91
68,321,1.03,2,2.06
69,317,1.02,3,3.05
70,343,1.10,3,3.30
71,302,0.97,4,3.87
72,329,1.05,2,2.11
73,309,0.99,3,2.97
74,314,1.01,3,3.02
75,328,1.05,4,4.21
76,301,0.96,3,2.89
77,307,0.98,4,3.94
78,300,0.96,4,3.85
79,291,0.93,5,4.66
80,300,0.96,2,1.92
81,313,1.00,3,3.01
82,279,0.89,3,2.68
83,302,0.97,4,3.87
84,292,0.94,3,2.81
85,269,0.86,4,3.45
86,260,0.83,4,3.33
87,246,0.79,5,3.94
88,236,0.76,3,2.27
89,214,0.69,4,2.74
90,213,0.68,4,2.73
91,219,0.70,5,3.51
92,198,0.63,4,2.54
93,167,0.54,5,2.68
94,179,0.57,5,2.87
95,170,0.54,6,3.27
96,150,0.48,2,0.96
97,123,0.39,3,1.18
98,118,0.38,3,1.13
99,103,0.33,4,1.32
100,86,0.28,3,0.83
101,75,0.24,4,0.96
102,65,0.21,4,0.83
103,70,0.22,5,1.12
104,50,0.16,3,0.48
105,45,0.14,4,0.58
106,50,0.16,4,0.64
107,33,0.11,5,0.53
108,40,0.13,4,0.51
109,21,0.07,5,0.34
110,13,0.04,5,0.21
111,27,0.09,6,0.52
112,25,0.08,3,0.24
113,9,0.03,4,0.12
114,9,0.03,4,0.12
115,11,0.04,5,0.18
116,4,0.01,4,0.05
117,9,0.03,5,0.14
118,5,0.02,5,0.08
119,7,0.02,6,0.13
120,2,0.01,4,0.03
121,0,0.00,5,0.00
122,2,0.01,5,0.03
123,0,0.00,6,0.00
124,1,0.00,5,0.02
125,0,0.00,6,0.00
126,0,0.00,6,0.00
127,3,0.01,7,0.07
