Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
-128,0,0.00,1,0.00
-127,0,0.00,2,0.00
-126,0,0.00,2,0.00
-125,0,0.00,3,0.00
-124,0,0.00,2,0.00
-123,0,0.00,3,0.00
-122,0,0.00,3,0.00
-121,0,0.00,4,0.00
-120,0,0.00,2,0.00
-119,0,0.00,3,0.00
-118,0,0.00,3,0.00
-117,0,0.00,4,0.00
-116,0,0.00,3,0.00
-115,0,0.00,4,0.00
-114,0,0.00,4,0.00
-113,0,0.00,5,0.00
-112,2,0.42,2,0.83
-111,0,0.00,3,0.00
-110,0,0.00,3,0.00
-109,0,0.00,4,0.00
-108,0,0.00,3,0.00
-107,0,0.00,4,0.00
-106,0,0.00,4,0.00
-105,1,0.21,5,1.04
-104,0,0.00,3,0.00
-103,0,0.00,4,0.00
-102,2,0.42,4,1.67
-101,1,0.21,5,1.04
-100,1,0.21,4,0.83
-99,1,0.21,5,1.04
-98,2,0.42,5,2.08
-97,1,0.21,6,1.25
-96,1,0.21,2,0.42
-95,2,0.42,3,1.25
-94,2,0.42,3,1.25
-93,1,0.21,4,0.83
-92,0,0.00,3,0.00
-91,1,0.21,4,0.83
-90,2,0.42,4,1.67
-89,4,0.83,5,4.17
-88,0,0.00,3,0.00
-87,0,0.00,4,0.00
-86,1,0.21,4,0.83
-85,0,0.00,5,0.00
-84,4,0.83,4,3.33
-83,1,0.21,5,1.04
-82,2,0.42,5,2.08
-81,6,1.25,6,7.50
-80,4,0.83,3,2.50
-79,0,0.00,4,0.00
-78,3,0.62,4,2.50
-77,1,0.21,5,1.04
-76,3,0.62,4,2.50
-75,3,0.62,5,3.12
-74,2,0.42,5,2.08
-73,3,0.62,6,3.75
-72,1,0.21,4,0.83
-71,1,0.21,5,1.04
-70,3,0.62,5,3.12
-69,2,0.42,6,2.50
-68,2,0.42,5,2.08
-67,1,0.21,6,1.25
-66,1,0.21,6,1.25
-65,1,0.21,7,1.46
-64,2,0.42,2,0.83
-63,2,0.42,3,1.25
-62,1,0.21,3,0.62
-61,2,0.42,4,1.67
-60,2,0.42,3,1.25
-59,4,0.83,4,3.33
-58,0,0.00,4,0.00
-57,0,0.00,5,0.00
-56,6,1.25,3,3.75
-55,4,0.83,4,3.33
-54,1,0.21,4,0.83
-53,1,0.21,5,1.04
-52,4,0.83,4,3.33
-51,0,0.00,5,0.00
-50,3,0.62,5,3.12
-49,0,0.00,6,0.00
-48,1,0.21,3,0.62
-47,3,0.62,4,2.50
-46,2,0.42,4,1.67
-45,2,0.42,5,2.08
-44,1,0.21,4,0.83
-43,5,1.04,5,5.21
-42,6,1.25,5,6.25
-41,2,0.42,6,2.50
-40,4,0.83,4,3.33
-39,3,0.62,5,3.12
-38,2,0.42,5,2.08
-37,11,2.29,6,13.75
-36,1,0.21,5,1.04
-35,0,0.00,6,0.00
-34,6,1.25,6,7.50
-33,0,0.00,7,0.00
-32,2,0.42,3,1.25
-31,1,0.21,4,0.83
-30,3,0.62,4,2.50
-29,3,0.62,5,3.12
-28,4,0.83,4,3.33
-27,0,0.00,5,0.00
-26,2,0.42,5,2.08
-25,4,0.83,6,5.00
-24,2,0.42,4,1.67
-23,1,0.21,5,1.04
-22,5,1.04,5,5.21
-21,2,0.42,6,2.50
-20,5,1.04,5,5.21
-19,4,0.83,6,5.00
-18,5,1.04,6,6.25
-17,3,0.62,7,4.38
-16,4,0.83,4,3.33
-15,4,0.83,5,4.17
-14,6,1.25,5,6.25
-13,1,0.21,6,1.25
-12,6,1.25,5,6.25
-11,5,1.04,6,6.25
-10,3,0.62,6,3.75
-9,3,0.62,7,4.38
-8,3,0.62,5,3.12
-7,5,1.04,6,6.25
-6,4,0.83,6,5.00
-5,0,0.00,7,0.00
-4,3,0.62,6,3.75
-3,4,0.83,7,5.83
-2,5,1.04,7,7.29
-1,0,0.00,8,0.00
0,2,0.42,0,0.00
1,5,1.04,1,1.04
2,2,0.42,1,0.42
3,3,0.62,2,1.25
4,2,0.42,1,0.42
5,4,0.83,2,1.67
6,4,0.83,2,1.67
7,1,0.21,3,0.62
8,6,1.25,1,1.25
9,6,1.25,2,2.50
10,2,0.42,2,0.83
11,1,0.21,3,0.62
12,0,0.00,2,0.00
13,3,0.62,3,1.88
14,1,0.21,3,0.62
15,0,0.00,4,0.00
16,3,0.62,1,0.62
17,1,0.21,2,0.42
18,5,1.04,2,2.08
19,0,0.00,3,0.00
20,0,0.00,2,0.00
21,0,0.00,3,0.00
22,2,0.42,3,1.25
23,1,0.21,4,0.83
24,2,0.42,2,0.83
25,2,0.42,3,1.25
26,2,0.42,3,1.25
27,0,0.00,4,0.00
28,2,0.42,3,1.25
29,2,0.42,4,1.67
30,2,0.42,4,1.67
31,2,0.42,5,2.08
32,2,0.42,1,0.42
33,5,1.04,2,2.08
34,3,0.62,2,1.25
35,3,0.62,3,1.88
36,3,0.62,2,1.25
37,2,0.42,3,1.25
38,1,0.21,3,0.62
39,3,0.62,4,2.50
40,1,0.21,2,0.42
41,3,0.62,3,1.88
42,0,0.00,3,0.00
43,2,0.42,4,1.67
44,2,0.42,3,1.25
45,3,0.62,4,2.50
46,5,1.04,4,4.17
47,3,0.62,5,3.12
48,2,0.42,2,0.83
49,2,0.42,3,1.25
50,3,0.62,3,1.88
51,2,0.42,4,1.67
52,5,1.04,3,3.12
53,0,0.00,4,0.00
54,3,0.62,4,2.50
55,2,0.42,5,2.08
56,2,0.42,3,1.25
