Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
-128,1,0.05,1,0.05
-127,0,0.00,2,0.00
-126,0,0.00,2,0.00
-125,0,0.00,3,0.00
-124,1,0.05,2,0.10
-123,0,0.00,3,0.00
-122,0,0.00,3,0.00
-121,0,0.00,4,0.00
-120,0,0.00,2,0.00
-119,4,0.21,3,0.62
-118,3,0.16,3,0.47
-117,2,0.10,4,0.42
-116,0,0.00,3,0.00
-115,2,0.10,4,0.42
-114,4,0.21,4,0.83
-113,3,0.16,5,0.78
-112,4,0.21,2,0.42
-111,9,0.47,3,1.41
-110,5,0.26,3,0.78
-109,4,0.21,4,0.83
-108,4,0.21,3,0.62
-107,7,0.36,4,1.46
-106,9,0.47,4,1.88
-105,4,0.21,5,1.04
-104,8,0.42,3,1.25
-103,6,0.31,4,1.25
-102,6,0.31,4,1.25
-101,7,0.36,5,1.82
-100,6,0.31,4,1.25
-99,11,0.57,5,2.86
-98,6,0.31,5,1.56
-97,7,0.36,6,2.19
-96,6,0.31,2,0.62
-95,14,0.73,3,2.19
-94,5,0.26,3,0.78
-93,11,0.57,4,2.29
-92,12,0.62,3,1.88
-91,12,0.62,4,2.50
-90,5,0.26,4,1.04
-89,4,0.21,5,1.04
-88,10,0.52,3,1.56
-87,5,0.26,4,1.04
-86,9,0.47,4,1.88
-85,9,0.47,5,2.34
-84,12,0.62,4,2.50
-83,10,0.52,5,2.60
-82,4,0.21,5,1.04
-81,11,0.57,6,3.44
-80,10,0.52,3,1.56
-79,10,0.52,4,2.08
-78,4,0.21,4,0.83
-77,9,0.47,5,2.34
-76,4,0.21,4,0.83
-75,11,0.57,5,2.86
-74,4,0.21,5,1.04
-73,8,0.42,6,2.50
-72,5,0.26,4,1.04
-71,8,0.42,5,2.08
-70,7,0.36,5,1.82
-69,5,0.26,6,1.56
-68,12,0.62,5,3.12
-67,9,0.47,6,2.81
-66,5,0.26,6,1.56
-65,11,0.57,7,4.01
-64,6,0.31,2,0.62
-63,6,0.31,3,0.94
-62,5,0.26,3,0.78
-61,8,0.42,4,1.67
-60,8,0.42,3,1.25
-59,16,0.83,4,3.33
-58,7,0.36,4,1.46
-57,5,0.26,5,1.30
-56,6,0.31,3,0.94
-55,11,0.57,4,2.29
-54,13,0.68,4,2.71
-53,4,0.21,5,1.04
-52,10,0.52,4,2.08
-51,11,0.57,5,2.86
-50,7,0.36,5,1.82
-49,10,0.52,6,3.12
-48,7,0.36,3,1.09
-47,9,0.47,4,1.88
-46,10,0.52,4,2.08
-45,7,0.36,5,1.82
-44,7,0.36,4,1.46
-43,14,0.73,5,3.65
-42,8,0.42,5,2.08
-41,12,0.62,6,3.75
-40,7,0.36,4,1.46
-39,8,0.42,5,2.08
-38,7,0.36,5,1.82
-37,4,0.21,6,1.25
-36,10,0.52,5,2.60
-35,7,0.36,6,2.19
-34,10,0.52,6,3.12
-33,6,0.31,7,2.19
-32,8,0.42,3,1.25
-31,10,0.52,4,2.08
-30,7,0.36,4,1.46
-29,11,0.57,5,2.86
-28,7,0.36,4,1.46
-27,12,0.62,5,3.12
-26,11,0.57,5,2.86
-25,6,0.31,6,1.88
-24,9,0.47,4,1.88
-23,11,0.57,5,2.86
-22,8,0.42,5,2.08
-21,6,0.31,6,1.88
-20,9,0.47,5,2.34
-19,8,0.42,6,2.50
-18,11,0.57,6,3.44
-17,13,0.68,7,4.74
-16,11,0.57,4,2.29
-15,11,0.57,5,2.86
-14,10,0.52,5,2.60
-13,10,0.52,6,3.12
-12,11,0.57,5,2.86
-11,5,0.26,6,1.56
-10,13,0.68,6,4.06
-9,11,0.57,7,4.01
-8,11,0.57,5,2.86
-7,8,0.42,6,2.50
-6,4,0.21,6,1.25
-5,7,0.36,7,2.55
-4,10,0.52,6,3.12
-3,15,0.78,7,5.47
-2,9,0.47,7,3.28
-1,8,0.42,8,3.33
0,12,0.62,0,0.00
1,11,0.57,1,0.57
2,7,0.36,1,0.36
3,5,0.26,2,0.52
4,10,0.52,1,0.52
5,9,0.47,2,0.94
6,12,0.62,2,1.25
7,10,0.52,3,1.56
8,10,0.52,1,0.52
9,10,0.52,2,1.04
10,14,0.73,2,1.46
11,7,0.36,3,1.09
12,9,0.47,2,0.94
13,8,0.42,3,1.25
14,7,0.36,3,1.09
15,10,0.52,4,2.08
16,14,0.73,1,0.73
17,11,0.57,2,1.15
18,6,0.31,2,0.62
19,6,0.31,3,0.94
20,4,0.21,2,0.42
21,12,0.62,3,1.88
22,15,0.78,3,2.34
23,13,0.68,4,2.71
24,7,0.36,2,0.73
25,8,0.42,3,1.25
26,8,0.42,3,1.25
27,5,0.26,4,1.04
28,9,0.47,3,1.41
29,6,0.31,4,1.25
30,3,0.16,4,0.62
31,4,0.21,5,1.04
32,10,0.52,1,0.52
33,10,0.52,2,1.04
34,5,0.26,2,0.52
35,5,0.26,3,0.78
36,10,0.52,2,1.04
37,7,0.36,3,1.09
38,12,0.62,3,1.88
39,4,0.21,4,0.83
40,7,0.36,2,0.73
41,2,0.10,3,0.31
42,12,0.62,3,1.88
43,13,0.68,4,2.71
44,7,0.36,3,1.09
45,7,0.36,4,1.46
46,13,0.68,4,2.71
47,5,0.26,5,1.30
48,5,0.26,2,0.52
49,9,0.47,3,1.41
50,12,0.62,3,1.88
51,9,0.47,4,1.88
52,7,0.36,3,1.09
53,11,0.57,4,2.29
54,15,0.78,4,3.12
55,11,0.57,5,2.86
56,11,0.57,3,1.72
57,9,0.47,4,1.88
58,7,0.36,4,1.46
59,10,0.52,5,2.60
60,7,0.36,4,1.46
61,9,0.47,5,2.34
62,12,0.62,5,3.12
63,10,0.52,6,3.12
64,4,0.21,1,0.21
65,8,0.42,2,0.83
66,10,0.52,2,1.04
67,9,0.47,3,1.41
68,7,0.36,2,0.73
69,7,0.36,3,1.09
70,3,0.16,3,0.47
71,8,0.42,4,1.67
72,8,0.42,2,0.83
73,8,0.42,3,1.25
74,13,0.68,3,2.03
75,5,0.26,4,1.04
76,10,0.52,3,1.56
77,10,0.52,4,2.08
78,11,0.57,4,2.29
79,15,0.78,5,3.91
80,10,0.52,2,1.04
81,7,0.36,3,1.09
82,5,0.26,3,0.78
83,7,0.36,4,1.46
84,12,0.62,3,1.88
85,7,0.36,4,1.46
86,8,0.42,4,1.67
87,9,0.47,5,2.34
88,8,0.42,3,1.25
89,9,0.47,4,1.88
90,11,0.57,4,2.29
91,6,0.31,5,1.56
92,11,0.57,4,2.29
93,11,0.57,5,2.86
94,10,0.52,5,2.60
95,8,0.42,6,2.50
96,3,0.16,2,0.31
97,8,0.42,3,1.25
98,13,0.68,3,2.03
99,11,0.57,4,2.29
100,2,0.10,3,0.31
101,6,0.31,4,1.25
102,11,0.57,4,2.29
103,11,0.57,5,2.86
104,6,0.31,3,0.94
