abits=1, wbits=16, nfbits=1, loss=0.06386042627482078
abits=1, wbits=16, nfbits=2, loss=0.06384432771935677
abits=1, wbits=16, nfbits=3, loss=0.06385504628698795
abits=1, wbits=16, nfbits=4, loss=0.06385131634007661
abits=1, wbits=16, nfbits=5, loss=0.06386897665185806
abits=1, wbits=16, nfbits=6, loss=0.0638616081709281
abits=1, wbits=16, nfbits=7, loss=0.06387458166155295
abits=1, wbits=16, nfbits=8, loss=0.06386848223897126
abits=1, wbits=16, nfbits=9, loss=0.06385873090953399
abits=1, wbits=16, nfbits=10, loss=0.06385950065958194
abits=1, wbits=16, nfbits=11, loss=0.06385615513397333
abits=1, wbits=16, nfbits=12, loss=0.06386083629555427
abits=2, wbits=16, nfbits=1, loss=0.04332370318185825
abits=2, wbits=16, nfbits=2, loss=0.04317149159331352
abits=2, wbits=16, nfbits=3, loss=0.04311619589153009
abits=2, wbits=16, nfbits=4, loss=0.0431281827772275
abits=2, wbits=16, nfbits=5, loss=0.04312289723505577
abits=2, wbits=16, nfbits=6, loss=0.0431204109858626
abits=2, wbits=16, nfbits=7, loss=0.04312147419804182
abits=2, wbits=16, nfbits=8, loss=0.04311127272936014
abits=2, wbits=16, nfbits=9, loss=0.04311209828712237
abits=2, wbits=16, nfbits=10, loss=0.04312029251685509
abits=2, wbits=16, nfbits=11, loss=0.043136193799093746
abits=2, wbits=16, nfbits=12, loss=0.043117973857965224
abits=3, wbits=16, nfbits=1, loss=0.04245891933066723
abits=3, wbits=16, nfbits=2, loss=0.041785476729273796
abits=3, wbits=16, nfbits=3, loss=0.04172717889723105
abits=3, wbits=16, nfbits=4, loss=0.04171737837485778
abits=3, wbits=16, nfbits=5, loss=0.04173865236150913
abits=3, wbits=16, nfbits=6, loss=0.04173136039231068
abits=3, wbits=16, nfbits=7, loss=0.04172887259091322
abits=3, wbits=16, nfbits=8, loss=0.04173391326688803
abits=3, wbits=16, nfbits=9, loss=0.04173576929725897
abits=3, wbits=16, nfbits=10, loss=0.041734650396765806
abits=3, wbits=16, nfbits=11, loss=0.04172005664366178
abits=3, wbits=16, nfbits=12, loss=0.04171952445251055
abits=4, wbits=16, nfbits=1, loss=0.04409187626189146
abits=4, wbits=16, nfbits=2, loss=0.04306595170727143
abits=4, wbits=16, nfbits=3, loss=0.04302490965869182
abits=4, wbits=16, nfbits=4, loss=0.04303109244658397
abits=4, wbits=16, nfbits=5, loss=0.043032498027269654
abits=4, wbits=16, nfbits=6, loss=0.043040022803231694
abits=4, wbits=16, nfbits=7, loss=0.043033381852392964
abits=4, wbits=16, nfbits=8, loss=0.04303004747877518
abits=4, wbits=16, nfbits=9, loss=0.04303728196865473
abits=4, wbits=16, nfbits=10, loss=0.04304056755529764
abits=4, wbits=16, nfbits=11, loss=0.04301776682050564
abits=4, wbits=16, nfbits=12, loss=0.04303028596899448
