abits=1, wbits=8, nfbits=1, loss=0.014757500053980412
abits=1, wbits=8, nfbits=2, loss=0.014765381395148162
abits=1, wbits=8, nfbits=3, loss=0.014759905976601519
abits=1, wbits=8, nfbits=4, loss=0.014768652152270079
abits=1, wbits=8, nfbits=5, loss=0.014762572072541866
abits=1, wbits=8, nfbits=6, loss=0.014770405277466545
abits=1, wbits=8, nfbits=7, loss=0.014759075404025422
abits=1, wbits=8, nfbits=8, loss=0.014753871149598407
abits=1, wbits=8, nfbits=9, loss=0.014769265953546915
abits=1, wbits=8, nfbits=10, loss=0.014762232641283518
abits=1, wbits=8, nfbits=11, loss=0.014764267336338377
abits=1, wbits=8, nfbits=12, loss=0.01476637876401536
abits=2, wbits=8, nfbits=1, loss=0.011093910741739167
abits=2, wbits=8, nfbits=2, loss=0.0064236445513625555
abits=2, wbits=8, nfbits=3, loss=0.005686357106941824
abits=2, wbits=8, nfbits=4, loss=0.0056722805602476
abits=2, wbits=8, nfbits=5, loss=0.005670492477619495
abits=2, wbits=8, nfbits=6, loss=0.005667572838063233
abits=2, wbits=8, nfbits=7, loss=0.005671143173598326
abits=2, wbits=8, nfbits=8, loss=0.005666416645861971
abits=2, wbits=8, nfbits=9, loss=0.005666590549457722
abits=2, wbits=8, nfbits=10, loss=0.005663473487425691
abits=2, wbits=8, nfbits=11, loss=0.005672598314376023
abits=2, wbits=8, nfbits=12, loss=0.005669068303317404
abits=3, wbits=8, nfbits=1, loss=0.007689118215169471
abits=3, wbits=8, nfbits=2, loss=0.0034744134187722243
abits=3, wbits=8, nfbits=3, loss=0.002845055498302174
abits=3, wbits=8, nfbits=4, loss=0.0028295968420421467
abits=3, wbits=8, nfbits=5, loss=0.0028364371369557027
abits=3, wbits=8, nfbits=6, loss=0.002827798587252171
abits=3, wbits=8, nfbits=7, loss=0.0028285066879246957
abits=3, wbits=8, nfbits=8, loss=0.00282770896760317
abits=3, wbits=8, nfbits=9, loss=0.0028280889972125012
abits=3, wbits=8, nfbits=10, loss=0.0028315405771792987
