abits=1, wbits=8, nfbits=1, loss=0.057638884211579956
abits=1, wbits=8, nfbits=2, loss=0.05765291807265618
abits=1, wbits=8, nfbits=3, loss=0.05762804531229612
abits=1, wbits=8, nfbits=4, loss=0.05764388794509264
abits=1, wbits=8, nfbits=5, loss=0.057628641597544536
abits=1, wbits=8, nfbits=6, loss=0.057626740290568426
abits=1, wbits=8, nfbits=7, loss=0.05765716755428375
abits=1, wbits=8, nfbits=8, loss=0.05765962662796179
abits=1, wbits=8, nfbits=9, loss=0.0576739632166349
abits=1, wbits=8, nfbits=10, loss=0.057652453891932964
abits=1, wbits=8, nfbits=11, loss=0.05764396624782911
abits=1, wbits=8, nfbits=12, loss=0.05763636254824889
abits=2, wbits=8, nfbits=1, loss=0.02165463502303912
abits=2, wbits=8, nfbits=2, loss=0.015261142431065822
abits=2, wbits=8, nfbits=3, loss=0.01369545561595796
abits=2, wbits=8, nfbits=4, loss=0.013595156102942733
abits=2, wbits=8, nfbits=5, loss=0.013586740218437253
abits=2, wbits=8, nfbits=6, loss=0.013595112109891115
abits=2, wbits=8, nfbits=7, loss=0.013601694656058382
abits=2, wbits=8, nfbits=8, loss=0.013589143991852418
abits=2, wbits=8, nfbits=9, loss=0.013596752168945013
abits=2, wbits=8, nfbits=10, loss=0.013599193016162667
abits=2, wbits=8, nfbits=11, loss=0.013586265393174611
abits=2, wbits=8, nfbits=12, loss=0.013586763644782014
abits=3, wbits=8, nfbits=1, loss=0.01355183270210639
abits=3, wbits=8, nfbits=2, loss=0.006163903306095073
abits=3, wbits=8, nfbits=3, loss=0.004216018061225231
abits=3, wbits=8, nfbits=4, loss=0.004100617573548777
abits=3, wbits=8, nfbits=5, loss=0.004107034960701966
abits=3, wbits=8, nfbits=6, loss=0.004099930148535909
abits=3, wbits=8, nfbits=7, loss=0.004100297153807986
abits=3, wbits=8, nfbits=8, loss=0.00409924437572511
abits=3, wbits=8, nfbits=9, loss=0.004101822851225734
abits=3, wbits=8, nfbits=10, loss=0.00410269236472698
abits=3, wbits=8, nfbits=11, loss=0.0041018094515236905
abits=3, wbits=8, nfbits=12, loss=0.0040996401161791235
abits=4, wbits=8, nfbits=1, loss=0.012155902339145541
abits=4, wbits=8, nfbits=2, loss=0.004367762618363859
abits=4, wbits=8, nfbits=3, loss=0.0023341823163299034
abits=4, wbits=8, nfbits=4, loss=0.0022166555975742927
abits=4, wbits=8, nfbits=5, loss=0.002212429310207088
abits=4, wbits=8, nfbits=6, loss=0.002215701271033583
abits=4, wbits=8, nfbits=7, loss=0.002214117004022671
abits=4, wbits=8, nfbits=8, loss=0.0022159983390548196
abits=4, wbits=8, nfbits=9, loss=0.00221321575391369
abits=4, wbits=8, nfbits=10, loss=0.0022189481674920386
abits=4, wbits=8, nfbits=11, loss=0.002214203200613459
abits=4, wbits=8, nfbits=12, loss=0.0022144479197987285
abits=5, wbits=8, nfbits=1, loss=0.011710804116983827
abits=5, wbits=8, nfbits=2, loss=0.003940872425655237
abits=5, wbits=8, nfbits=3, loss=0.001895743405419545
abits=5, wbits=8, nfbits=4, loss=0.0017658289759240758
abits=5, wbits=8, nfbits=5, loss=0.0017736379888493759
abits=5, wbits=8, nfbits=6, loss=0.0017666058694699015
abits=5, wbits=8, nfbits=7, loss=0.0017673054901071084
abits=5, wbits=8, nfbits=8, loss=0.0017704518492488812
abits=5, wbits=8, nfbits=9, loss=0.0017750045282390113
abits=5, wbits=8, nfbits=10, loss=0.00176734811005493
abits=5, wbits=8, nfbits=11, loss=0.0017721943437115839
abits=5, wbits=8, nfbits=12, loss=0.0017672360196369342
