abits=1, wbits=8, nfbits=1, loss=0.003991771399085291
abits=1, wbits=8, nfbits=2, loss=0.001719593994307499
abits=1, wbits=8, nfbits=3, loss=0.00161202968387769
abits=1, wbits=8, nfbits=4, loss=0.0016192446103862796
abits=1, wbits=8, nfbits=5, loss=0.0016100067109502375
abits=1, wbits=8, nfbits=6, loss=0.001610142087044481
abits=1, wbits=8, nfbits=7, loss=0.0016134778550342442
abits=1, wbits=8, nfbits=8, loss=0.0016115081809216347
abits=1, wbits=8, nfbits=9, loss=0.0016110950087656816
abits=1, wbits=8, nfbits=10, loss=0.0016113357317711536
abits=1, wbits=8, nfbits=11, loss=0.0016100070366892628
abits=1, wbits=8, nfbits=12, loss=0.00161044499448811
abits=2, wbits=8, nfbits=1, loss=0.003997902023211981
abits=2, wbits=8, nfbits=2, loss=0.001720509237388913
abits=2, wbits=8, nfbits=3, loss=0.0016089002441358156
abits=2, wbits=8, nfbits=4, loss=0.0016142788767748966
abits=2, wbits=8, nfbits=5, loss=0.0016141496177088134
abits=2, wbits=8, nfbits=6, loss=0.001612483678260245
abits=2, wbits=8, nfbits=7, loss=0.001610710379258634
abits=2, wbits=8, nfbits=8, loss=0.0016095509871285264
abits=2, wbits=8, nfbits=9, loss=0.0016112460471982232
abits=2, wbits=8, nfbits=10, loss=0.0016129571942236419
abits=2, wbits=8, nfbits=11, loss=0.001615832177310203
abits=2, wbits=8, nfbits=12, loss=0.001610663998946667
abits=3, wbits=8, nfbits=1, loss=0.003991002949008431
abits=3, wbits=8, nfbits=2, loss=0.0017245143378834026
abits=3, wbits=8, nfbits=3, loss=0.0016106002496179338
abits=3, wbits=8, nfbits=4, loss=0.0016108086405065246
abits=3, wbits=8, nfbits=5, loss=0.0016130174335557967
abits=3, wbits=8, nfbits=6, loss=0.0016099981615134778
abits=3, wbits=8, nfbits=7, loss=0.0016100064799852239
abits=3, wbits=8, nfbits=8, loss=0.0016149007446634083
abits=3, wbits=8, nfbits=9, loss=0.0016167412694089878
abits=3, wbits=8, nfbits=10, loss=0.001618126949044661
abits=3, wbits=8, nfbits=11, loss=0.0016129798418543756
abits=3, wbits=8, nfbits=12, loss=0.0016137047693915425
abits=4, wbits=8, nfbits=1, loss=0.0039917943903650995
abits=4, wbits=8, nfbits=2, loss=0.0017173393157113774
abits=4, wbits=8, nfbits=3, loss=0.0016077547020708711
abits=4, wbits=8, nfbits=4, loss=0.0016131898133048357
abits=4, wbits=8, nfbits=5, loss=0.0016140414936205323
abits=4, wbits=8, nfbits=6, loss=0.0016101749620597379
abits=4, wbits=8, nfbits=7, loss=0.0016126099885113011
abits=4, wbits=8, nfbits=8, loss=0.0016119245697971052
abits=4, wbits=8, nfbits=9, loss=0.001615330085489684
abits=4, wbits=8, nfbits=10, loss=0.001609618470329457
abits=4, wbits=8, nfbits=11, loss=0.0016114225682730859
abits=4, wbits=8, nfbits=12, loss=0.001618281596352179
abits=5, wbits=8, nfbits=1, loss=0.003989559177380915
abits=5, wbits=8, nfbits=2, loss=0.001718134036472736
abits=5, wbits=8, nfbits=3, loss=0.0016182541305450006
abits=5, wbits=8, nfbits=4, loss=0.0016110228163411077
abits=5, wbits=8, nfbits=5, loss=0.00161081879811648
abits=5, wbits=8, nfbits=6, loss=0.0016095473603435005
abits=5, wbits=8, nfbits=7, loss=0.0016100552471844144
abits=5, wbits=8, nfbits=8, loss=0.0016098756444616578
abits=5, wbits=8, nfbits=9, loss=0.0016223994428471017
abits=5, wbits=8, nfbits=10, loss=0.0016099042874814656
abits=5, wbits=8, nfbits=11, loss=0.0016094049161228423
abits=5, wbits=8, nfbits=12, loss=0.0016104387446270825
abits=6, wbits=8, nfbits=1, loss=0.00399454774406667
abits=6, wbits=8, nfbits=2, loss=0.0017283210166706107
abits=6, wbits=8, nfbits=3, loss=0.0016101719748127298
abits=6, wbits=8, nfbits=4, loss=0.0016119461592424135
abits=6, wbits=8, nfbits=5, loss=0.0016172382680591769
abits=6, wbits=8, nfbits=6, loss=0.0016138601939205844
abits=6, wbits=8, nfbits=7, loss=0.0016106429158333833
abits=6, wbits=8, nfbits=8, loss=0.0016134889387430097
abits=6, wbits=8, nfbits=9, loss=0.0016118206799430295
abits=6, wbits=8, nfbits=10, loss=0.0016134405413117164
abits=6, wbits=8, nfbits=11, loss=0.001610525726275041
abits=6, wbits=8, nfbits=12, loss=0.0016105554453903236
abits=7, wbits=8, nfbits=1, loss=0.003987188874863279
abits=7, wbits=8, nfbits=2, loss=0.0017197135192616724
abits=7, wbits=8, nfbits=3, loss=0.001613675689068026
abits=7, wbits=8, nfbits=4, loss=0.001614051415414836
abits=7, wbits=8, nfbits=5, loss=0.0016095563739490432
abits=7, wbits=8, nfbits=6, loss=0.001612946131036808
abits=7, wbits=8, nfbits=7, loss=0.0016177602273483689
abits=7, wbits=8, nfbits=8, loss=0.0016135807814769065
abits=7, wbits=8, nfbits=9, loss=0.0016116786521310226
abits=7, wbits=8, nfbits=10, loss=0.001610484785394361
abits=7, wbits=8, nfbits=11, loss=0.0016111237935733814
abits=7, wbits=8, nfbits=12, loss=0.0016106954396654589
abits=8, wbits=8, nfbits=1, loss=0.003994459708710798
abits=8, wbits=8, nfbits=2, loss=0.0017188409360525652
abits=8, wbits=8, nfbits=3, loss=0.0016090894701520507
abits=8, wbits=8, nfbits=4, loss=0.0016144355837381086
