abits=1, wbits=8, nfbits=1, loss=0.050390018293490775
abits=1, wbits=8, nfbits=2, loss=0.05038803402716533
abits=1, wbits=8, nfbits=3, loss=0.0504082516552164
abits=1, wbits=8, nfbits=4, loss=0.050388413099333264
abits=1, wbits=8, nfbits=5, loss=0.05040155444294214
abits=1, wbits=8, nfbits=6, loss=0.05038347080923044
abits=1, wbits=8, nfbits=7, loss=0.050373743646419965
abits=1, wbits=8, nfbits=8, loss=0.050376053589085736
abits=1, wbits=8, nfbits=9, loss=0.05037502244783518
abits=1, wbits=8, nfbits=10, loss=0.050383428923594646
abits=1, wbits=8, nfbits=11, loss=0.05039556806859297
abits=1, wbits=8, nfbits=12, loss=0.05039494269742416
abits=2, wbits=8, nfbits=1, loss=0.011731471460408125
abits=2, wbits=8, nfbits=2, loss=0.010905838655069089
abits=2, wbits=8, nfbits=3, loss=0.010885972177418761
abits=2, wbits=8, nfbits=4, loss=0.0108922475662369
abits=2, wbits=8, nfbits=5, loss=0.010883871728602128
abits=2, wbits=8, nfbits=6, loss=0.010892935180797791
abits=2, wbits=8, nfbits=7, loss=0.010887755224337945
abits=2, wbits=8, nfbits=8, loss=0.010887070344044613
abits=2, wbits=8, nfbits=9, loss=0.010882638114241835
abits=2, wbits=8, nfbits=10, loss=0.010898439559894495
abits=2, wbits=8, nfbits=11, loss=0.010884609210710878
abits=2, wbits=8, nfbits=12, loss=0.010886237293911668
abits=3, wbits=8, nfbits=1, loss=0.0058050686851716955
abits=3, wbits=8, nfbits=2, loss=0.004642159551179084
abits=3, wbits=8, nfbits=3, loss=0.004569781391929166
abits=3, wbits=8, nfbits=4, loss=0.004573134526323814
abits=3, wbits=8, nfbits=5, loss=0.004572391705527806
abits=3, wbits=8, nfbits=6, loss=0.0045796862298933165
abits=3, wbits=8, nfbits=7, loss=0.004573595022054342
abits=3, wbits=8, nfbits=8, loss=0.004574548824726103
abits=3, wbits=8, nfbits=9, loss=0.004573110091046263
abits=3, wbits=8, nfbits=10, loss=0.004570746263011525
abits=3, wbits=8, nfbits=11, loss=0.004570112835305433
abits=3, wbits=8, nfbits=12, loss=0.004573575913524017
abits=4, wbits=8, nfbits=1, loss=0.004142112209079549
abits=4, wbits=8, nfbits=2, loss=0.002680099734929032
abits=4, wbits=8, nfbits=3, loss=0.00258405883766663
abits=4, wbits=8, nfbits=4, loss=0.0025910305811498217
abits=4, wbits=8, nfbits=5, loss=0.0025847167812454966
abits=4, wbits=8, nfbits=6, loss=0.002587428556020873
abits=4, wbits=8, nfbits=7, loss=0.002584433912908515
abits=4, wbits=8, nfbits=8, loss=0.002585431807137166
abits=4, wbits=8, nfbits=9, loss=0.0025834241405857774
abits=4, wbits=8, nfbits=10, loss=0.002583594324861247
abits=4, wbits=8, nfbits=11, loss=0.0025889304330727705
abits=4, wbits=8, nfbits=12, loss=0.0025849950758035844
abits=5, wbits=8, nfbits=1, loss=0.0038016392097163657
abits=5, wbits=8, nfbits=2, loss=0.002155653133134668
abits=5, wbits=8, nfbits=3, loss=0.002040443977770897
abits=5, wbits=8, nfbits=4, loss=0.002036398531158622
abits=5, wbits=8, nfbits=5, loss=0.002034683079005052
abits=5, wbits=8, nfbits=6, loss=0.0020344060150166163
abits=5, wbits=8, nfbits=7, loss=0.0020378908823029352
abits=5, wbits=8, nfbits=8, loss=0.00204142495446528
abits=5, wbits=8, nfbits=9, loss=0.002038101306728398
abits=5, wbits=8, nfbits=10, loss=0.0020391436828037677
abits=5, wbits=8, nfbits=11, loss=0.002043636668718253
abits=5, wbits=8, nfbits=12, loss=0.0020359170030599507
abits=6, wbits=8, nfbits=1, loss=0.00376305268265498
abits=6, wbits=8, nfbits=2, loss=0.002016192314794096
abits=6, wbits=8, nfbits=3, loss=0.0018860486213667078
abits=6, wbits=8, nfbits=4, loss=0.0018928035924312635
