abits=1, wbits=4, nfbits=1, loss=0.021496777816747244
abits=1, wbits=4, nfbits=2, loss=0.021500515942581188
abits=1, wbits=4, nfbits=3, loss=0.02149022991458575
abits=1, wbits=4, nfbits=4, loss=0.021497364072367933
abits=1, wbits=4, nfbits=5, loss=0.021497398985024445
abits=1, wbits=4, nfbits=6, loss=0.021488221636853922
abits=1, wbits=4, nfbits=7, loss=0.021494064909907486
abits=1, wbits=4, nfbits=8, loss=0.021487196716360558
abits=1, wbits=4, nfbits=9, loss=0.021497488105430815
abits=1, wbits=4, nfbits=10, loss=0.021488496699394323
abits=1, wbits=4, nfbits=11, loss=0.021492531761909142
abits=1, wbits=4, nfbits=12, loss=0.021497771454354126
abits=2, wbits=4, nfbits=1, loss=0.011395368713121384
abits=2, wbits=4, nfbits=2, loss=0.010356417475029444
abits=2, wbits=4, nfbits=3, loss=0.010259718747618489
abits=2, wbits=4, nfbits=4, loss=0.010268986738549594
abits=2, wbits=4, nfbits=5, loss=0.010263882696819611
abits=2, wbits=4, nfbits=6, loss=0.010262827400882274
abits=2, wbits=4, nfbits=7, loss=0.01025808277205588
abits=2, wbits=4, nfbits=8, loss=0.010257584472688345
abits=2, wbits=4, nfbits=9, loss=0.01026340652233324
abits=2, wbits=4, nfbits=10, loss=0.010264877886630787
abits=2, wbits=4, nfbits=11, loss=0.010265556193935947
abits=2, wbits=4, nfbits=12, loss=0.010260760551318526
abits=3, wbits=4, nfbits=1, loss=0.01120763290554094
abits=3, wbits=4, nfbits=2, loss=0.010467888250087317
abits=3, wbits=4, nfbits=3, loss=0.010426968682366304
abits=3, wbits=4, nfbits=4, loss=0.01043834811888444
abits=3, wbits=4, nfbits=5, loss=0.010430428420360655
abits=3, wbits=4, nfbits=6, loss=0.010430982366252022
abits=3, wbits=4, nfbits=7, loss=0.01043329776551288
abits=3, wbits=4, nfbits=8, loss=0.01044021069836349
abits=3, wbits=4, nfbits=9, loss=0.010437123799839845
abits=3, wbits=4, nfbits=10, loss=0.010436098109214352
abits=3, wbits=4, nfbits=11, loss=0.01043236619219757
abits=3, wbits=4, nfbits=12, loss=0.010433891453804115
abits=4, wbits=4, nfbits=1, loss=0.011380450149329428
abits=4, wbits=4, nfbits=2, loss=0.010884682832954403
abits=4, wbits=4, nfbits=3, loss=0.010877434564276766
abits=4, wbits=4, nfbits=4, loss=0.010881664601560587
abits=4, wbits=4, nfbits=5, loss=0.010883782052984223
abits=4, wbits=4, nfbits=6, loss=0.010879979456942052
abits=4, wbits=4, nfbits=7, loss=0.010882394131607352
abits=4, wbits=4, nfbits=8, loss=0.010890994167241912
abits=4, wbits=4, nfbits=9, loss=0.01088305019463102
abits=4, wbits=4, nfbits=10, loss=0.010880766281237205
abits=4, wbits=4, nfbits=11, loss=0.010882746667051926
abits=4, wbits=4, nfbits=12, loss=0.010885280485336598
abits=5, wbits=4, nfbits=1, loss=0.011536876850116711
abits=5, wbits=4, nfbits=2, loss=0.011162348688603977
abits=5, wbits=4, nfbits=3, loss=0.011191951051258888
abits=5, wbits=4, nfbits=4, loss=0.011196708061899513
abits=5, wbits=4, nfbits=5, loss=0.011196740473119112
abits=5, wbits=4, nfbits=6, loss=0.011198355535713907
abits=5, wbits=4, nfbits=7, loss=0.011192232256946273
abits=5, wbits=4, nfbits=8, loss=0.011193897151268827
