abits=1, wbits=8, nfbits=1, loss=0.00382178662589584
abits=1, wbits=8, nfbits=2, loss=0.0017833276860750257
abits=1, wbits=8, nfbits=3, loss=0.0016950519724886338
abits=1, wbits=8, nfbits=4, loss=0.0016962916613407193
abits=1, wbits=8, nfbits=5, loss=0.0016990532838882734
abits=1, wbits=8, nfbits=6, loss=0.001695953342744197
abits=1, wbits=8, nfbits=7, loss=0.0016958969981015588
abits=1, wbits=8, nfbits=8, loss=0.0016952215739412424
abits=1, wbits=8, nfbits=9, loss=0.001695202308697984
abits=1, wbits=8, nfbits=10, loss=0.0016972818087267044
abits=1, wbits=8, nfbits=11, loss=0.0016999738682688286
abits=1, wbits=8, nfbits=12, loss=0.001696940516688837
abits=2, wbits=8, nfbits=1, loss=0.003818982271835781
abits=2, wbits=8, nfbits=2, loss=0.0017869928344272268
abits=2, wbits=8, nfbits=3, loss=0.00170163124298247
abits=2, wbits=8, nfbits=4, loss=0.001696590924462399
abits=2, wbits=8, nfbits=5, loss=0.0016945515783915583
abits=2, wbits=8, nfbits=6, loss=0.001705792593733909
abits=2, wbits=8, nfbits=7, loss=0.0016960085519643214
abits=2, wbits=8, nfbits=8, loss=0.0016999292166497654
abits=2, wbits=8, nfbits=9, loss=0.0016958941761493827
abits=2, wbits=8, nfbits=10, loss=0.0017014721364457495
abits=2, wbits=8, nfbits=11, loss=0.0016956146883342464
abits=2, wbits=8, nfbits=12, loss=0.0016967060812301217
abits=3, wbits=8, nfbits=1, loss=0.0038172718330035703
abits=3, wbits=8, nfbits=2, loss=0.0017839761578495828
abits=3, wbits=8, nfbits=3, loss=0.0016923917327613498
abits=3, wbits=8, nfbits=4, loss=0.0017074869784454887
abits=3, wbits=8, nfbits=5, loss=0.001695045043165103
abits=3, wbits=8, nfbits=6, loss=0.0017007619626849939
abits=3, wbits=8, nfbits=7, loss=0.0016991965161511102
abits=3, wbits=8, nfbits=8, loss=0.0016955529400804199
abits=3, wbits=8, nfbits=9, loss=0.0016959826920915826
abits=3, wbits=8, nfbits=10, loss=0.0017054000050754836
abits=3, wbits=8, nfbits=11, loss=0.0017013792474664603
abits=3, wbits=8, nfbits=12, loss=0.001700964077966861
abits=4, wbits=8, nfbits=1, loss=0.0038225717606763234
abits=4, wbits=8, nfbits=2, loss=0.0017925030055593173
abits=4, wbits=8, nfbits=3, loss=0.0016952218985608898
abits=4, wbits=8, nfbits=4, loss=0.0016953013878381357
abits=4, wbits=8, nfbits=5, loss=0.0016997336441328605
abits=4, wbits=8, nfbits=6, loss=0.0016955543460193067
abits=4, wbits=8, nfbits=7, loss=0.0017005274899136752
abits=4, wbits=8, nfbits=8, loss=0.0016995362220302175
abits=4, wbits=8, nfbits=9, loss=0.001698279863026423
abits=4, wbits=8, nfbits=10, loss=0.0016958475585292594
abits=4, wbits=8, nfbits=11, loss=0.0016993090864091825
abits=4, wbits=8, nfbits=12, loss=0.0017012064356374769
abits=5, wbits=8, nfbits=1, loss=0.003812957992359327
abits=5, wbits=8, nfbits=2, loss=0.0017889085604856985
abits=5, wbits=8, nfbits=3, loss=0.001699938644052077
abits=5, wbits=8, nfbits=4, loss=0.0016965092344878193
abits=5, wbits=8, nfbits=5, loss=0.0016997772375664983
abits=5, wbits=8, nfbits=6, loss=0.0016985210647525934
abits=5, wbits=8, nfbits=7, loss=0.0016954504266882746
abits=5, wbits=8, nfbits=8, loss=0.001699965819194077
abits=5, wbits=8, nfbits=9, loss=0.0016953453010407826
abits=5, wbits=8, nfbits=10, loss=0.0016946992993605537
abits=5, wbits=8, nfbits=11, loss=0.0016949787771012874
abits=5, wbits=8, nfbits=12, loss=0.001695920030425231
abits=6, wbits=8, nfbits=1, loss=0.00381524211470372
abits=6, wbits=8, nfbits=2, loss=0.00178390347924179
abits=6, wbits=8, nfbits=3, loss=0.0016967899293656675
abits=6, wbits=8, nfbits=4, loss=0.001705049709879602
abits=6, wbits=8, nfbits=5, loss=0.0016984411930211652
abits=6, wbits=8, nfbits=6, loss=0.0016952969696527969
abits=6, wbits=8, nfbits=7, loss=0.0017001110640987277
abits=6, wbits=8, nfbits=8, loss=0.0016951620588467147
abits=6, wbits=8, nfbits=9, loss=0.001694694858414527
abits=6, wbits=8, nfbits=10, loss=0.0017007645167326794
abits=6, wbits=8, nfbits=11, loss=0.0016951703944822582
abits=6, wbits=8, nfbits=12, loss=0.001695906025139639
abits=7, wbits=8, nfbits=1, loss=0.0038128199819953013
abits=7, wbits=8, nfbits=2, loss=0.0017838815980119249
abits=7, wbits=8, nfbits=3, loss=0.001694761508051903
abits=7, wbits=8, nfbits=4, loss=0.0016989207092242746
abits=7, wbits=8, nfbits=5, loss=0.0016970497937365554
abits=7, wbits=8, nfbits=6, loss=0.001694994813311869
abits=7, wbits=8, nfbits=7, loss=0.0016965407337873983
abits=7, wbits=8, nfbits=8, loss=0.00169599590709624
abits=7, wbits=8, nfbits=9, loss=0.0016987997686299377
abits=7, wbits=8, nfbits=10, loss=0.0016967841100920804
abits=7, wbits=8, nfbits=11, loss=0.001695481115184987
abits=7, wbits=8, nfbits=12, loss=0.0016952075492530966
abits=8, wbits=8, nfbits=1, loss=0.0038142528949090494
abits=8, wbits=8, nfbits=2, loss=0.001795984419937341
abits=8, wbits=8, nfbits=3, loss=0.0016954341304088489
abits=8, wbits=8, nfbits=4, loss=0.0017004640069969285
abits=8, wbits=8, nfbits=5, loss=0.0016979558448581838
abits=8, wbits=8, nfbits=6, loss=0.0016970748737758885
abits=8, wbits=8, nfbits=7, loss=0.0017009113657061392
abits=8, wbits=8, nfbits=8, loss=0.001696851501877133
abits=8, wbits=8, nfbits=9, loss=0.001696089718816205
abits=8, wbits=8, nfbits=10, loss=0.0017005435824662878
abits=8, wbits=8, nfbits=11, loss=0.001700417834516161
abits=8, wbits=8, nfbits=12, loss=0.0016960939661098213
abits=9, wbits=8, nfbits=1, loss=0.0038174967033764683
abits=9, wbits=8, nfbits=2, loss=0.0017872615773320342
abits=9, wbits=8, nfbits=3, loss=0.0016943147511949812
abits=9, wbits=8, nfbits=4, loss=0.001698743348615841
abits=9, wbits=8, nfbits=5, loss=0.0016983186767155973
abits=9, wbits=8, nfbits=6, loss=0.0016966551308705208
abits=9, wbits=8, nfbits=7, loss=0.001699712290130078
abits=9, wbits=8, nfbits=8, loss=0.0017032472350342104
abits=9, wbits=8, nfbits=9, loss=0.0017019850145935868
abits=9, wbits=8, nfbits=10, loss=0.0016997281315688712
abits=9, wbits=8, nfbits=11, loss=0.00169560736275087
abits=9, wbits=8, nfbits=12, loss=0.001698072311298277
abits=10, wbits=8, nfbits=1, loss=0.0038177072434710004
abits=10, wbits=8, nfbits=2, loss=0.001788034740736923
abits=10, wbits=8, nfbits=3, loss=0.001693473953473119
abits=10, wbits=8, nfbits=4, loss=0.0017030264522569876
abits=10, wbits=8, nfbits=5, loss=0.0016955005830356802
abits=10, wbits=8, nfbits=6, loss=0.0016980353128672459
abits=10, wbits=8, nfbits=7, loss=0.0017046835534692479
abits=10, wbits=8, nfbits=8, loss=0.0017001076410405147
abits=10, wbits=8, nfbits=9, loss=0.0016964246259214212
abits=10, wbits=8, nfbits=10, loss=0.0016945996026968202
abits=10, wbits=8, nfbits=11, loss=0.001701231051881153
abits=10, wbits=8, nfbits=12, loss=0.0017030799353960901
abits=11, wbits=8, nfbits=1, loss=0.003814558865717397
abits=11, wbits=8, nfbits=2, loss=0.0017881499665329615
abits=11, wbits=8, nfbits=3, loss=0.0016972220492346261
abits=11, wbits=8, nfbits=4, loss=0.001697282597515135
abits=11, wbits=8, nfbits=5, loss=0.0017026153655024245
abits=11, wbits=8, nfbits=6, loss=0.0016951603876152195
abits=11, wbits=8, nfbits=7, loss=0.0016970902144795475
abits=11, wbits=8, nfbits=8, loss=0.0016990988466811057
abits=11, wbits=8, nfbits=9, loss=0.00169578572594895
abits=11, wbits=8, nfbits=10, loss=0.0016957007778378634
abits=11, wbits=8, nfbits=11, loss=0.001695430978613261
abits=11, wbits=8, nfbits=12, loss=0.0016967098378630069
abits=12, wbits=8, nfbits=1, loss=0.0038146672050993987
abits=12, wbits=8, nfbits=2, loss=0.0017903971870859654
abits=12, wbits=8, nfbits=3, loss=0.0016972334836818613
abits=12, wbits=8, nfbits=4, loss=0.0017005520848891674
abits=12, wbits=8, nfbits=5, loss=0.001701803797727618
abits=12, wbits=8, nfbits=6, loss=0.0016971329131569618
abits=12, wbits=8, nfbits=7, loss=0.0016979899817856792
abits=12, wbits=8, nfbits=8, loss=0.0016990881263970947
abits=12, wbits=8, nfbits=9, loss=0.001696258260590884
abits=12, wbits=8, nfbits=10, loss=0.0016994097808119245
abits=12, wbits=8, nfbits=11, loss=0.0016954231743091862
abits=12, wbits=8, nfbits=12, loss=0.0016965251233136186
